,year,country_name,DM_age_marr_mean,DM_age_mean,ED_educ_years_mean,FP_desired_mean,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,HH_time_water_mean,HH_women_time_water_mean,RH_age_first_birth_mean,RH_age_first_sex_mean,RH_children_born_mean,RH_children_living_mean,WL_wealth_mean,FP_desired_daugh_mean,FP_desired_sons_mean,DM_age_diff_mean,HL_number_cigarettes_mean
42,1995,Egypt,20.38,23.25,4.89,1.71,0.54,4.55,4.47,0.48,3.68,25.78,17.32,20.44,NA,2.1,1.88,88.5,0.33,0.35,4.61,NA
43,1995,Ghana,18.274,28,5.694,4.102,0.714,3.522,3.662,1.068,5.144,16.812,17.422,19.284,16.552,2.718,2.316,23.114,NA,NA,NA,NA
44,1995,Guatemala,19.57,28.69,6.47,3.05,0.79,4.78,4.81,0.9,5.73,31.13,35.31,21.14,19.3,2.15,1.98,54.33,1.36,1.39,3,NA
45,1995,India,15.40333333,24.12666667,2.096666667,2.073333333,0.64,4.856666667,4.94,0.626666667,4.823333333,16.41,13.03333333,17.4,NA,2.173333333,1.883333333,33.56333333,NA,NA,NA,NA
46,1995,Indonesia,19.24333333,19.9,4.74,1.563333333,0.533333333,NA,4.94,0.413333333,3.36,4.453333333,2.323333333,18.31333333,16.97,1.63,1.49,63.9,0.73,0.746666667,NA,NA
47,1995,Kenya,19.566,26.688,8.714,2.764,0.442,3.012,2.976,0.732,4.472,10.618,13.71,20.576,17.182,1.734,1.61,46.672,NA,NA,NA,NA
48,1995,Madagascar,18.81,28.534,5.108,7.108,0.968,5.014,5.114,1.082,6.152,15.99,16.436,20.016,18.05,2.98,2.544,18.864,NA,NA,NA,NA
49,1995,Malawi,17.22125,27.52375,5.09125,4.905,0.93375,4.62,4.69,1.19,6.05,32.04125,32.40375,18.56,NA,3.20875,2.54125,14.4425,NA,NA,NA,NA
50,1995,Morocco,19.00545455,28.59,1.605454545,3.689090909,0.973636364,5.529090909,5.681818182,1.231818182,7.354545455,NA,NA,21.25,NA,2.397272727,2.049090909,49.69454545,NA,NA,NA,NA
51,1995,Niger,14.77,28.14,0.53,8.045,1.295,5.475,5.69,1.655,7.16,28.48,28.28,17.9,14.69714286,3.9,2.645,7.95,NA,NA,NA,NA
52,1995,Pakistan,18.486,22.628,1.464666667,2.821333333,1.110666667,6.404666667,6.646,1.034,5.703333333,32.53466667,24.98866667,19.384,NA,2.822666667,2.432666667,44.362,NA,NA,NA,NA
53,1995,Senegal,18.215,27.98,3.64,4.81,1.54,8.235,8.315,2.315,12.515,16.35,16.765,19.96,17.84,2.74,2.41,45.555,NA,NA,NA,NA
54,1995,Uganda,17.24,26.82,5.33,4.73,1.0,4.36,4.32,1.38,6.06,34.52,33.55,17.98,15.54,3.21,2.69,13.44,2.31,2.09,NA,NA
55,1995,Zambia,17.415,27.4175,5.9975,5.39,0.9475,5.045,5.1825,1.3575,7.0775,20.7725,19.47,18.4725,15.8975,3.075,2.5925,19.7575,NA,NA,NA,NA
56,1995,Zimbabwe,18.012,27.706,6.292,4.962,0.782,4.52,4.63,1.068,6.096,27.18,29.356,19.168,17.516,2.822,2.526,23.566,2.388,2.394,NA,NA
57,1996,Bangladesh,14.37333333,24.76,2.946666667,2.09,0.826666667,5.143333333,5.373333333,0.776666667,5.293333333,13.00588235,11.67176471,17.18,NA,2.833333333,2.333333333,26.91,0.903333333,1.176666667,NA,NA
58,1996,Benin,17.08,29.15,0.9,6.9,1.77,7.49,7.63,2.6,11.15,NA,NA,18.76,16.28,3.83,2.86,19.56,3.03,3.24,9.71,NA
59,1996,Colombia,19.208,28.918,7.104,2.816,0.75,5.052,5.096,0.882,6.226,18.37,19.274,21.04,19.206,2.062,1.956,45.334,1.218,1.016,5.058,NA
60,1996,Cote d'Ivoire,18.71888889,27.95111111,2.298888889,5.684444444,1.397777778,6.868888889,6.871111111,2.411111111,11.79777778,21.97555556,23.99555556,18.21666667,15.36555556,3.274444444,2.758888889,32.03222222,NA,NA,NA,NA
61,1996,Egypt,20.446,23.142,4.978,1.714,0.536,4.512,4.438,0.482,3.632,24.08,16.008,20.478,NA,2.054,1.848,86.82,0.358,0.378,4.552,NA
62,1996,Ghana,18.346,27.94,5.706,4.128,0.716,3.618,3.748,1.062,5.236,16.608,17.598,19.366,16.668,2.642,2.264,23.946,NA,NA,NA,NA
63,1996,Guatemala,19.515,28.7225,6.4025,3.05,0.7925,4.815,4.8525,0.9075,5.745,28.785,32.26,21.0125,19.21,2.2075,2.0375,53.54,1.375,1.4,3.0375,NA
64,1996,India,15.435,24.72,2.19,2.06,0.625,4.825,4.895,0.625,4.885,16.755,13.6,17.435,NA,2.215,1.92,33.94,NA,NA,NA,NA
65,1996,Indonesia,19.40666667,20.05,4.91,1.616666667,0.526666667,NA,4.84,0.416666667,3.34,3.766666667,2.196666667,18.38666667,17.05,1.61,1.47,62.39,0.72,0.723333333,NA,NA
66,1996,Kenya,19.684,26.782,8.956,2.816,0.438,3.058,3.024,0.728,4.508,11.712,14.78,20.694,17.028,1.706,1.59,46.408,NA,NA,NA,NA
67,1996,Madagascar,18.89,28.692,5.144,7.984,0.964,4.972,5.052,1.076,6.056,16.48,17.018,20.098,18.09,2.98,2.542,18.672,NA,NA,NA,NA
68,1996,Malawi,17.215,27.575,5.225,4.84,0.935,4.62,4.69,1.19,6.01,31.695,31.855,18.54,NA,3.195,2.545,15.12,NA,NA,NA,NA
69,1996,Mali,15.36,28.95,0.69,6.07,1.46,6.07,6.58,1.84,8.48,14.54,14.23,18.38,15.06,3.97,2.83,10.38,2.5,3.04,13.69,NA
70,1996,Morocco,19.01727273,28.68,1.767272727,3.615454545,0.938181818,5.505454545,5.649090909,1.179090909,7.292727273,NA,NA,21.26,NA,2.346363636,2.015454545,51.37272727,NA,NA,NA,NA
71,1996,Nepal,16.82,24.36,1.06,2.25,0.92,5.28,5.4,0.88,5.27,17.96,13.48,19.15,16.44,2.58,2.18,24.86,0.82,1.32,4,NA
72,1996,Niger,14.88333333,28.21666667,0.58,8.073333333,1.293333333,5.406666667,5.596666667,1.633333333,7.033333333,30.71666667,30.27,17.84,14.75285714,3.903333333,2.653333333,7.96,NA,NA,NA,NA
73,1996,Pakistan,18.52,22.52,1.513333333,2.786666667,1.103333333,6.443333333,6.66,1.02,5.676666667,32.33333333,24.78333333,19.39,NA,2.793333333,2.413333333,44.98,NA,NA,NA,NA
74,1996,Peru,18.52,28.99,5.55,2.6,0.86,4.83,4.85,1.09,6.07,13.09,11.33,19.77,17.75,3.18,2.86,26.85,0.96,0.92,5.14,NA
75,1996,Senegal,18.4475,28.105,3.795,4.72,1.52,8.3175,8.3925,2.2525,12.5725,15.69,16.1325,20.08,18.01,2.7,2.39,46.4775,NA,NA,NA,NA
76,1996,Tanzania,17.69,29.4,4.57,5.14,0.8,4.42,4.43,1,5.87,38.5,39.38,18.85,16.01,3.33,2.67,11.17,2,2.19,9.01,NA
77,1996,Uganda,17.292,26.816,5.494,4.662,0.988,4.362,4.354,1.356,6.102,35.706,34.944,18.024,15.67,3.188,2.68,14.514,2.226,2.022,NA,NA
78,1996,Zambia,17.55,27.47,6.35,5.18,0.9,5.01,5.14,1.29,6.91,22.33,20.56,18.59,15.97,3.03,2.56,20.21,2.46,2.38,8.08,NA
79,1996,Zimbabwe,18.044,27.722,6.464,4.884,0.764,4.42,4.54,1.046,5.972,26.92,29.182,19.266,17.602,2.794,2.492,23.172,2.316,2.338,NA,NA
80,1997,Bangladesh,14.44,24.53,3.06,2.07,0.8,5.09,5.34,0.75,5.22,13.27882353,11.83764706,17.09,NA,2.73,2.28,30.9,0.9,1.16,8.08,NA
81,1997,Benin,17.116,29.14,0.914,6.778,1.676,7.138,7.292,2.444,10.526,NA,NA,18.836,16.356,3.848,2.908,18.866,2.974,3.186,9.414,NA
